list_name,name,label::english,governorate,district,subdistrict,label::arabic
subdistrict,YE110225,Aras,YE11,YE1102,,عراس
subdistrict,YE110226,Bani Omar - Yarim,YE11,YE1102,,بني عمر - يريم
subdistrict,YE110227,Bani Saba - Yarim,YE11,YE1102,,بني سباء - يريم
subdistrict,YE110228,Bani Muslim - Yarim,YE11,YE1102,,بني مسلم - يريم
subdistrict,YE110229,Khawdan,YE11,YE1102,,خودان
subdistrict,YE110230,Bani Manbah,YE11,YE1102,,بني منبه
subdistrict,YE110231,Aryab,YE11,YE1102,,ارياب
subdistrict,YE110321,Bani Qays - Ar Radmah,YE11,YE1103,,بني قيس - الرضمه
subdistrict,YE110322,Shizar,YE11,YE1103,,شيزر
subdistrict,YE110323,Kuhlan - Ar Radmah,YE11,YE1103,,كحلان - الرضمه
subdistrict,YE110324,Al Bakrah,YE11,YE1103,,البكره
subdistrict,YE110325,Ajeeb,YE11,YE1103,,عجيب
subdistrict,YE110326,Azaal - Ar Radmah,YE11,YE1103,,ازال - الرضمه
subdistrict,YE110327,Sudan,YE11,YE1103,,سودان
subdistrict,YE110328,Yahir,YE11,YE1103,,يحير
subdistrict,YE110329,Harith Al Haydari,YE11,YE1103,,حارث الحيدرى
subdistrict,YE110421,Hadah,YE11,YE1104,,حده
subdistrict,YE110422,Shab Al Muraysi,YE11,YE1104,,شعب المريسي
subdistrict,YE110423,Az Zamazimah,YE11,YE1104,,الزمازمه
subdistrict,YE110424,Al Fajrah,YE11,YE1104,,الفجره
subdistrict,YE110425,Ash Sharnamah Al Olya,YE11,YE1104,,الشرنمة العليا
subdistrict,YE110426,Al Aridah - An Nadirah,YE11,YE1104,,العارضه - النادره
subdistrict,YE110427,Hazib,YE11,YE1104,,حزيب
subdistrict,YE110428,Sharih - An Nadirah,YE11,YE1104,,شريح
subdistrict,YE110429,Muqana Al Ala,YE11,YE1104,,مقنع الاعلى
subdistrict,YE110430,Al Miftah Al Ala,YE11,YE1104,,المفتاح الاعلى
subdistrict,YE110431,Dhulm,YE11,YE1104,,ظلم
subdistrict,YE110432,Malik,YE11,YE1104,,مالك
subdistrict,YE110433,Amqah,YE11,YE1104,,عمقه
subdistrict,YE110434,Shakhb,YE11,YE1104,,شخب
subdistrict,YE110521,Al Amluk,YE11,YE1105,,الا ملؤك
subdistrict,YE110522,Bait As Saydi,YE11,YE1105,,بيت الصائدي
subdistrict,YE110523,Al Qabil Al Asfal,YE11,YE1105,,القابل الاسفل
subdistrict,YE110524,Maqna,YE11,YE1105,,مقنع
subdistrict,YE110525,Al Miftah,YE11,YE1105,,المفتاح
subdistrict,YE110526,Al Qabil Al Ala,YE11,YE1105,,القابل الاعلى
subdistrict,YE110527,Al Wasat - Ash Shair,YE11,YE1105,,الوسط - الشعر
subdistrict,YE110528,Al Abs,YE11,YE1105,,العبس
subdistrict,YE110621,Wadi Hajjaj,YE11,YE1106,,وادي حجاج
subdistrict,YE110622,Wadi Al Habali,YE11,YE1106,,وادي الحبالي
subdistrict,YE110623,At Tuwiti,YE11,YE1106,,التويتي
subdistrict,YE110624,Az Zalaa,YE11,YE1106,,الزعلاء
subdistrict,YE110625,Al Amas,YE11,YE1106,,الاعماس
subdistrict,YE110626,Jabal Hajjaj,YE11,YE1106,,جبل حجاج
subdistrict,YE110627,Bani Al Othmaniyyen,YE11,YE1106,,بني العثمانيين
subdistrict,YE110628,Bani Al Harith - As Saddah,YE11,YE1106,,بني الحارث - السده
subdistrict,YE110629,Al Markham,YE11,YE1106,,المرخام
subdistrict,YE110630,Jabal Isam,YE11,YE1106,,جبل عصام
subdistrict,YE110631,Jabal Al Jabaali,YE11,YE1106,,جبل الجبالي
subdistrict,YE110632,Al Arafah,YE11,YE1106,,العرافه
subdistrict,YE110633,Wadi Isam,YE11,YE1106,,وادي عصام
subdistrict,YE110721,As Sahul,YE11,YE1107,,السحول
subdistrict,YE110722,Ash Sharaf - Al Makhadir,YE11,YE1107,,الشرف - المخادر
