list_name,name,label::english,governorate
district,YE2010,Anss,YE20
district,YE2011,Dawran Aness,YE20
district,YE2008,Dhamar City,YE20
district,YE2003,Jabal Ash sharq,YE20
district,YE2002,Jahran,YE20
district,YE2004,Maghirib Ans,YE20
district,YE2009,Mayfa'at Anss,YE20
district,YE2005,Utmah,YE20
district,YE2006,Wusab Al Ali,YE20
district,YE2007,Wusab As Safil,YE20
district,YE2106,Ain,YE21
district,YE2102,Al Talh,YE21
district,YE2115,Ar Rawdah,YE21
district,YE2104,Arma,YE21
district,YE2112,As Said,YE21
district,YE2113,Ataq,YE21
district,YE2107,Bayhan,YE21
district,YE2101,Dhar,YE21
district,YE2114,Habban,YE21
district,YE2111,Hatib,YE21
district,YE2103,Jardan,YE21
district,YE2116,Mayfa'a,YE21
district,YE2108,Merkhah Al Ulya,YE21
district,YE2109,Merkhah As Sufla,YE21
district,YE2110,Nisab,YE21
district,YE2117,Rudum,YE21
district,YE2105,Usaylan,YE21
district,YE2207,Al Dhaher,YE22
district,YE2213,Al Hashwah,YE22
district,YE2212,As Safra,YE22
district,YE2201,Baqim,YE22
district,YE2204,Ghamr,YE22
district,YE2208,Haydan,YE22
district,YE2214,Kitaf wa Al Boqe'e,YE22
district,YE2210,Majz,YE22
district,YE2203,Monabbih,YE22
district,YE2202,Qatabir,YE22
district,YE2205,Razih,YE22
district,YE2215,Sa'adah,YE22
district,YE2211,Sahar,YE22
district,YE2209,Saqayn,YE22
district,YE2206,Shada'a,YE22
district,YE2308,Al Haymah Ad Dakhiliyah,YE23
district,YE2309,Al Haymah Al Kharijiyah,YE23
district,YE2315,Al Husn,YE23
district,YE2302,Arhab,YE23
district,YE2313,Attyal,YE23
district,YE2314,Bani Dhabyan,YE23
district,YE2304,Bani Hushaysh,YE23
district,YE2307,Bani Matar,YE23
district,YE2306,Bilad Ar Rus,YE23
district,YE2301,Hamdan,YE23
district,YE2316,Jihanah,YE23
district,YE2312,Khwlan,YE23
district,YE2310,Manakhah,YE23
district,YE2303,Nihm,YE23
district,YE2311,Sa'fan,YE23
district,YE2305,Sanhan,YE23
district,YE2404,Al Buraiqeh,YE24
district,YE2403,Al Mansura,YE24
district,YE2406,Al Mualla,YE24
district,YE2402,Ash Shaikh Outhman,YE24
district,YE2405,Attawahi,YE24
district,YE2407,Craiter,YE24
district,YE2401,Dar Sad,YE24
district,YE2408,Khur Maksar,YE24
district,YE2501,Al Had,YE25
district,YE2514,Al Hawtah,YE25
district,YE2513,Al Madaribah Wa Al Arah,YE25
district,YE2503,Al Maflahy,YE25
district,YE2512,Al Maqatirah,YE25
district,YE2508,Al Milah,YE25
district,YE2509,Al Musaymir,YE25
district,YE2510,Al Qabbaytah,YE25
district,YE2505,Habil Jabr,YE25
district,YE2506,Halimayn,YE25
district,YE2507,Radfan,YE25
district,YE2515,Tuban,YE25
district,YE2511,Tur Al Bahah,YE25
district,YE2502,Yafa'a,YE25
district,YE2504,Yahr,YE25
district,YE2611,Al Abdiyah,YE26
district,YE2607,Al Jubah,YE26
district,YE2605,Bidbadah,YE26
district,YE2609,Harib,YE26
district,YE2604,Harib Al Qaramish,YE26
district,YE2614,Jabal Murad,YE26
district,YE2610,Mahliyah,YE26
district,YE2601,Majzar,YE26
district,YE2613,Marib,YE26
district,YE2612,Marib City,YE26
district,YE2603,Medghal,YE26
district,YE2602,Raghwan,YE26
district,YE2608,Rahabah,YE26
district,YE2606,Sirwah,YE26
district,YE2704,Al Khabt,YE27
district,YE2709,Al Mahwait,YE27
district,YE2708,Al Mahwait City,YE27
district,YE2703,Ar Rujum,YE27
district,YE2702,At Tawilah,YE27
district,YE2707,Bani Sa'd,YE27
district,YE2706,Hufash,YE27
district,YE2705,Milhan,YE27
district,YE2701,Shibam Kawkaban,YE27
